COLOR,DESIGN,FABRIC,IMG,PRICE,PRODUCT_TYPE,SKU,TECHNIQUE,TITLE
Aqua,Fabric: Lawn,Technique: Printed,"https://pk.khaadi.com/media/catalog/product/j/2/j21122_blue_1_4.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 1,690",Description: A lovely blue 2 piece unstitched lawn outfit with stylized prints.,J21122,Product Type: Kameez Pants,Unstitched Printed 2 Piece375
Purple,Fabric: Lawn,Technique: Printed,"https://pk.khaadi.com/media/catalog/product/j/2/j21123_blue_1_4.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 1,690",Description: A lovely blue 2 piece unstitched lawn outfit with stylized prints.,J21123,Product Type: Kameez Pants,Unstitched Printed 2 Piece376
Teal,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/j/2/j21217_blue_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 1,590",Product Type: Kameez Pants,J21217,Technique: Printed,Unstitched Printed 2 Piece377
Blue,Design: Contemporary,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/j/2/j21234_blue_1_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 1,890",Product Type: Kameez Pants,J21234,Technique: Printed,Unstitched Printed 2 Piece378
White,Shirt Length: 3 meters,Fabric: Cambric,"https://pk.khaadi.com/media/catalog/product/j/2/j21307_white_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 1,790",Product Type: Kameez Pants,J21307,Technique: Printed,Unstitched Printed 2 Piece379
Brown,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/j/2/j21313_yellow_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 1,990",Product Type: Kameez Pants,J21313,Technique: Printed,Unstitched Printed 2 Piece380
Brown,Shirt Length: 3 meters,Fabric: Cambric,"https://pk.khaadi.com/media/catalog/product/j/2/j21316_brown_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,190",Product Type: Kameez Pants,J21316,Technique: Printed,Unstitched Printed 2 Piece381
Blue,Shirt Length: 3.25 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/j/2/j21317_blue_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 1,890",Product Type: Kameez Pants,J21317,Technique: Printed,Unstitched Printed 2 Piece382
Blue,Shirt Length: 3.5 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/j/2/j21320_blue_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 1,890",Product Type: Kameez Pants,J21320,Technique: Printed,Unstitched Printed 2 Piece383
Pink,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/j/2/j21326_pink_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 1,890",Product Type: Kameez Pants,J21326,Technique: Printed,Unstitched Printed 2 Piece384
