COLOR,DESIGN,FABRIC,IMG,PRICE,PRODUCT_TYPE,SKU,TECHNIQUE,TITLE
Purple,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21227_purple_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 3,190",Product Type: Kameez Pants Dupatta,B21227,Technique: Dyed Embroidered,Unstitched Embroidered 3 Piece40
Yellow,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21227_yellow_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 3,190",Product Type: Kameez Pants Dupatta,B21227,Technique: Dyed Embroidered,Unstitched Embroidered 3 Piece41
Turquoise,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21232_green_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 3,590",Product Type: Kameez Pants Dupatta,B21232,Technique: Printed Embroidered,Unstitched Embroidered 3 Piece42
Yellow,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21232_yellow_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 3,590",Product Type: Kameez Pants Dupatta,B21232,Technique: Printed Embroidered,Unstitched Embroidered 3 Piece43
Cream,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21233_beige_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 3,390",Product Type: Kameez Pants Dupatta,B21233,Technique: Printed Embroidered,Unstitched Embroidered 3 Piece44
Turquoise,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21233_green_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 3,390",Product Type: Kameez Pants Dupatta,B21233,Technique: Printed Embroidered,Unstitched Embroidered 3 Piece45
Black,Design: Contemporary,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21234_black_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 3,290",Product Type: Kameez Pants Dupatta,B21234,Technique: Printed Embroidered,Unstitched Embroidered 3 Piece46
Pink,Design: Contemporary,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21234_pink_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 3,290",Product Type: Kameez Pants Dupatta,B21234,Technique: Printed Embroidered,Unstitched Embroidered 3 Piece47
Turquoise,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21244_blue_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 3,090",Product Type: Kameez Pants Dupatta,B21244,Technique: Printed Embroidered,Unstitched Embroidered 3 Piece48
Grey,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21244_grey_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 3,090",Product Type: Kameez Pants Dupatta,B21244,Technique: Printed Embroidered,Unstitched Embroidered 3 Piece49
Pink,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/i/2/i2103045_pink_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,090",Product Type: Kameez Pants,I2103045,Technique: Printed Embroidered,Unstitched Embroidered 2 Piece50
Lilac,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/i/2/i2103045_purple_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,090",Product Type: Kameez Pants,I2103045,Technique: Printed Embroidered,Unstitched Embroidered 2 Piece51
Beige,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/l/2/l210538_beige_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 1,890",Product Type: Kameez Dupatta,L210538,Technique: Printed,Unstitched Printed 2 Piece52
Off-White,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/l/2/l210538_white_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 1,890",Product Type: Kameez Dupatta,L210538,Technique: Printed,Unstitched Printed 2 Piece53
Beige,"Shirt Length: 1.75 meters - 60""",Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a210501_beige_2.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,890",Product Type: Kameez Pants Dupatta,A210501,Technique: Printed,Unstitched Printed 3 Piece54
Aqua,"Shirt Length: 1.75 meters - 60""",Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a210501_blue_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,890",Product Type: Kameez Pants Dupatta,A210501,Technique: Printed,Unstitched Printed 3 Piece55
Multi,"Shirt Length: 1.75 meters - 60""",Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a210502_beige_2.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=110&width=73&canvas=73:110","PKR 2,890",Product Type: Kameez Pants Dupatta,A210502,Technique: Printed,Unstitched Printed 3 Piece56
Multi,"Shirt Length: 1.75 meters - 60""",Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a210502_grey_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,890",Product Type: Kameez Pants Dupatta,A210502,Technique: Printed,Unstitched Printed 3 Piece57
Black,"Shirt Length: 1.75 meters - 60""",Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a210503_black_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,890",Product Type: Kameez Pants Dupatta,A210503,Technique: Printed,Unstitched Printed 3 Piece58
Lilac,"Shirt Length: 1.9 meters - 60""",Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a210511_pink_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,890",Product Type: Kameez Pants Dupatta,A210511,Technique: Printed,Unstitched Printed 3 Piece60
Turquoise,"Shirt Length: 1.75 meters - 60""",Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a210512_blue_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,890",Product Type: Kameez Pants Dupatta,A210512,Technique: Printed,Unstitched Printed 3 Piece62
Lilac,"Shirt Length: 1.75 meters - 60""",Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a210512_pink_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,890",Product Type: Kameez Pants Dupatta,A210512,Technique: Printed,Unstitched Printed 3 Piece63
Multi,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21313_beige_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,290",Product Type: Kameez Pants Dupatta,A21313,Technique: Printed,Unstitched Printed 3 Piece64
Multi,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21313_yellow_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,290",Product Type: Kameez Pants Dupatta,A21313,Technique: Printed,Unstitched Printed 3 Piece65
Sky Blue,Shirt Length: 3.25 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21318_black_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,390",Product Type: Kameez Pants Dupatta,A21318,Technique: Printed,Unstitched Printed 3 Piece66
Pink,Shirt Length: 3.25 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21318_pink_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,390",Product Type: Kameez Pants Dupatta,A21318,Technique: Printed,Unstitched Printed 3 Piece67
Yellow,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21319_yellow_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,490",Product Type: Kameez Pants Dupatta,A21319,Technique: Printed,Unstitched Printed 3 Piece69
Off-White,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21322_blue_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,490",Product Type: Kameez Pants Dupatta,A21322,Technique: Printed,Unstitched Printed 3 Piece70
Black,Shirt Length: 3.25 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21356_black_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,690",Product Type: Kameez Pants Dupatta,A21356,Technique: Printed,Unstitched Printed 3 Piece72
Green,Shirt Length: 3.25 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21356_blue_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,690",Product Type: Kameez Pants Dupatta,A21356,Technique: Printed,Unstitched Printed 3 Piece73
Blue,Shirt Length: 3.25 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21360_blue_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,690",Product Type: Kameez Pants Dupatta,A21360,Technique: Printed,Unstitched Printed 3 Piece74
Red,Shirt Length: 3.25 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21360_red_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,690",Product Type: Kameez Pants Dupatta,A21360,Technique: Printed,Unstitched Printed 3 Piece75
Grey,Shirt Length: 3.1 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21361_grey_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,590",Product Type: Kameez Pants Dupatta,A21361,Technique: Printed,Unstitched Printed 3 Piece76
Purple,Shirt Length: 3.1 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21361_purple_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,590",Product Type: Kameez Pants Dupatta,A21361,Technique: Printed,Unstitched Printed 3 Piece77
Orange,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21380_pink_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,790",Product Type: Kameez Pants Dupatta,A21380,Technique: Printed,Unstitched Printed 3 Piece78
Mustard,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21380_yellow_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,790",Product Type: Kameez Pants Dupatta,A21380,Technique: Printed,Unstitched Printed 3 Piece79
Teal,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b2103007_blue_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,790",Product Type: Kameez Pants Dupatta,B2103007,Technique: Printed Embroidered,Unstitched Embroidered 3 Piece80
Grey,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b2103025_grey_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,890",Product Type: Kameez Pants Dupatta,B2103025,Technique: Printed Embroidered,Unstitched Embroidered 3 Piece81
Black,Design: Contemporary,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21235_black_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 3,790",Product Type: Kameez Pants Dupatta,B21235,Technique: Printed Embroidered,Unstitched Embroidered 3 Piece83
Pink,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21238_red_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 3,490",Product Type: Kameez Pants Dupatta,B21238,Technique: Printed Embroidered,Unstitched Embroidered 3 Piece85
Black,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21261_black_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,990",Product Type: Kameez Pants Dupatta,B21261,Technique: Printed Embroidered,Unstitched Embroidered 3 Piece86
Yellow,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21261_yellow_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,990",Product Type: Kameez Pants Dupatta,B21261,Technique: Printed Embroidered,Unstitched Embroidered 3 Piece87
Pink,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21262_pink_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 3,390",Product Type: Kameez Pants Dupatta,B21262,Technique: Printed Embroidered,Unstitched Embroidered 3 Piece88
Black,Shirt Length: 3.1 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21302_black_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 3,090",Product Type: Kameez Pants Dupatta,B21302,Technique: Printed Embroidered,Unstitched Embroidered 3 Piece89
Pink,Shirt Length: 3.1 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21302_pink_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 3,090",Product Type: Kameez Pants Dupatta,B21302,Technique: Printed Embroidered,Unstitched Embroidered 3 Piece90
Green,Shirt Length: 3.25 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21303_blue_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 3,190",Product Type: Kameez Pants Dupatta,B21303,Technique: Printed Embroidered,Unstitched Embroidered 3 Piece91
Red,Shirt Length: 3.25 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21303_red_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 3,190",Product Type: Kameez Pants Dupatta,B21303,Technique: Printed Embroidered,Unstitched Embroidered 3 Piece92
Beige,Shirt Length: 3.25 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21305_beige_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 3,590",Product Type: Kameez Pants Dupatta,B21305,Technique: Printed Embroidered,Unstitched Embroidered 3 Piece93
Off-White,Shirt Length: 3.25 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21305_green_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 3,590",Product Type: Kameez Pants Dupatta,B21305,Technique: Printed Embroidered,Unstitched Embroidered 3 Piece94
Black,Design: Traditional,Fabric: Cambric,"https://pk.khaadi.com/media/catalog/product/h/c/hc21201_black_2.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 4,990",Product Type: Kameez Pants Dupatta,HC21201,Technique: Dyed Embroidered,Unstitched Embroidered 3 Piece95
Turquoise,Design: Traditional,Fabric: Cambric,"https://pk.khaadi.com/media/catalog/product/h/c/hc21202_green_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 6,990",Product Type: Kameez Pants Dupatta,HC21202,Technique: Dyed Embroidered,Unstitched Embroidered 3 Piece96
Off-White,Design: Traditional,Fabric: Cambric,"https://pk.khaadi.com/media/catalog/product/h/c/hc21203_off-white_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 5,990",Product Type: Kameez Pants Dupatta,HC21203,Technique: Dyed Embroidered,Unstitched Embroidered 3 Piece97
Purple,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/i/2/i21205_purple_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,590",Product Type: Kameez Pants,I21205,Technique: Printed Embroidered,Unstitched Embroidered 2 Piece99
Multi,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/i/2/i21305_black_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,490",Product Type: Kameez Pants,I21305,Technique: Printed Embroidered,Unstitched Embroidered 2 Piece100
Multi,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/i/2/i21305_blue_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,490",Product Type: Kameez Pants,I21305,Technique: Printed Embroidered,Unstitched Embroidered 2 Piece101
Brown,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/i/2/i21307_brown_3.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,190",Product Type: Kameez Pants,I21307,Technique: Printed Embroidered,Unstitched Embroidered 2 Piece102
Black,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/l/2/l210539_blue_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 1,890",Product Type: Kameez Dupatta,L210539,Technique: Printed,Unstitched Printed 2 Piece103
Brown,Shirt Length: 3.1 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/l/2/l21327_brown_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,090",Product Type: Kameez Dupatta,L21327,Technique: Printed,Unstitched Printed 2 Piece104
Grey,Shirt Length: 3.1 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/l/2/l21327_grey_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,090",Product Type: Kameez Dupatta,L21327,Technique: Printed,Unstitched Printed 2 Piece105
Aqua,Shirt Length: 3.25 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/m/2/m21305_green_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,890",Product Type: Kameez Dupatta,M21305,Technique: Printed Embroidered,Unstitched Embroidered 2 Piece106
Pink,Shirt Length: 3.25 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/m/2/m21305_pink_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,890",Product Type: Kameez Dupatta,M21305,Technique: Printed Embroidered,Unstitched Embroidered 2 Piece107
White,Shirt Length: 3.25 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/m/2/m21311_blue_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,490",Product Type: Kameez Dupatta,M21311,Technique: Printed Embroidered,Unstitched Embroidered 2 Piece108
Pink,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a210542_pink_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,590",Product Type: Kameez Pants Dupatta,A210542,Technique: Printed,Printed Kameez Pants Dupatta109
Red,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a210544_red_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,590",Product Type: Kameez Pants Dupatta,A210544,Technique: Printed,Printed Kameez Pants Dupatta110
Pink,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a210545_pink_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,590",Product Type: Kameez Pants Dupatta,A210545,Technique: Printed,Printed Kameez Pants Dupatta111
Black,Shirt Length: 3.1 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21316_black_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,290",Product Type: Kameez Pants Dupatta,A21316,Technique: Printed,Printed Kameez Pants Dupatta112
Purple,Shirt Length: 3.1 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21316_purple_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,290",Product Type: Kameez Pants Dupatta,A21316,Technique: Printed,Printed Kameez Pants Dupatta113
Teal,Shirt Length: 3.1 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21323_grey_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,290",Product Type: Kameez Pants Dupatta,A21323,Technique: Printed,Printed Kameez Pants Dupatta114
Blue,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21329_blue_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,590",Product Type: Kameez Pants Dupatta,A21329,Technique: Printed,Printed Kameez Pants Dupatta115
Red,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21329_red_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,590",Product Type: Kameez Pants Dupatta,A21329,Technique: Printed,Printed Kameez Pants Dupatta116
Green,Shirt Length: 3.1 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21342_green_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,590",Product Type: Kameez Pants Dupatta,A21342,Technique: Printed,Printed Kameez Pants Dupatta117
Orange,Shirt Length: 3.1 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21342_orange_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,590",Product Type: Kameez Pants Dupatta,A21342,Technique: Printed,Printed Kameez Pants Dupatta118
Purple,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21385_purple_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,790",Product Type: Kameez Pants Dupatta,A21385,Technique: Printed,Printed Kameez Pants Dupatta119
Yellow,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21385_yellow_1_5.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,790",Product Type: Kameez Pants Dupatta,A21385,Technique: Printed,Printed Kameez Pants Dupatta120
Black,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21386_black_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,890",Product Type: Kameez Pants Dupatta,A21386,Technique: Printed,Printed Kameez Pants Dupatta121
Multi,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21386_grey_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,890",Product Type: Kameez Pants Dupatta,A21386,Technique: Printed,Printed Kameez Pants Dupatta122
Beige,Design: Contemporary,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21391_beige_1_5.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,790",Product Type: Kameez Pants Dupatta,A21391,Technique: Printed,Printed Kameez Pants Dupatta123
Aqua,Design: Contemporary,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21391_blue_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,790",Product Type: Kameez Pants Dupatta,A21391,Technique: Printed,Printed Kameez Pants Dupatta124
Pink,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21239_pink_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,990",Product Type: Kameez Pants Dupatta,B21239,Technique: Printed Embroidered,Printed Embroidered Kameez Pants Dupatta125
Pink,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21241_pink_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 3,090",Product Type: Kameez Pants Dupatta,B21241,Technique: Printed Embroidered,Printed Embroidered Kameez Pants Dupatta126
Black,Design: Contemporary,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21246_black_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,990",Product Type: Kameez Pants Dupatta,B21246,Technique: Printed Embroidered,Printed Embroidered Kameez Pants Dupatta127
Lime Green,Design: Contemporary,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21246_green_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,990",Product Type: Kameez Pants Dupatta,B21246,Technique: Printed Embroidered,Printed Embroidered Kameez Pants Dupatta128
Aqua,Shirt Length: 3.25 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21306_green_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 3,190",Product Type: Kameez Pants Dupatta,B21306,Technique: Printed Embroidered,Printed Embroidered Kameez Pants Dupatta129
Beige,Shirt Length: 3.25 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21306_yellow_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 3,190",Product Type: Kameez Pants Dupatta,B21306,Technique: Printed Embroidered,Printed Embroidered Kameez Pants Dupatta130
