IMG,TITLE,PRICE
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-105_1_.jpg,Screen Printed Cotton Shirt GLS-21-105,"PKR 2,543"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-108_2_.jpg,Screen Printed Cotton Shirt GLS-21-108,"PKR 2,618"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-109_2_.jpg,Screen Printed Cotton Shirt GLS-21-109,"PKR 2,618"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-106_6_.jpg,Screen Printed Cotton Shirt GLS-21-106,"PKR 2,768"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/i/p/ips-21-03_2pc_6_.jpg,Screen Printed Lawn Shirt With Dupatta IPS-21-03 2PC,"PKR 3,968"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/i/p/ips-21-06_2pc_6_.jpg,Screen Printed Lawn Shirt With Dupatta IPS-21-06 2PC,"PKR 3,968"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/i/p/ips-21-02_2pc_2_.jpg,Screen Printed Lawn Shirt With Dupatta IPS-21-02 2PC,"PKR 4,268"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/i/p/ips-21-05_2pc_3__1.jpg,Screen Printed Lawn Shirt With Dupatta IPS-21-05 2PC,"PKR 3,968"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/i/p/ips-21-61_2pc_2_.jpg,Embroidered Cotton Shirt With Screen Printed Lawn Dupatta - IPS-21-61 2PC,"PKR 3,968"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/i/p/ips-21-60_2pc_2_.jpg,Embroidered Cotton Shirt With Screen Printed Lawn Dupatta - IPS-21-60 2PC,"PKR 3,743"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/i/p/ips-21-63_2pc_2_.jpg,Embroidered Cotton Shirt With Screen Printed Lawn Dupatta - IPS-21-63 2PC,"PKR 3,743"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/i/p/ips-21-62_2pc_5_.jpg,Embroidered Cotton Shirt With Screen Printed Lawn Dupatta - IPS-21-62 2PC,"PKR 3,593"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-27_dp_2_.jpg,Digital Printed Lawn Shirt -GLS-21-27 DP,"PKR 2,768"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-28_dp_2_.jpg,Digital Printed Lawn Shirt -GLS-21-28 DP,"PKR 2,768"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-29_dp_2_.jpg,Digital Printed Lawn Shirt -GLS-21-29 DP,"PKR 2,768"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-30_dp_5_.jpg,Digital Printed Lawn Shirt -GLS-21-30 DP,"PKR 2,093PKR 2,093"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-31_dp_2_.jpg,Digital Printed Lawn Shirt -GLS-21-31 DP,"PKR 2,768"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-32_dp_2_.jpg,Digital Printed Lawn Shirt -GLS-21-32 DP,"PKR 2,768"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-34_dp_2_.jpg,Digital Printed Lawn Shirt -GLS-21-34 DP,"PKR 2,618"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-20_dp_2_.jpg,Digital Printed Lawn Shirt GLS-21-20 DP,"PKR 2,243"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-01_2_.jpg,Screen Printed Lawn Shirt GLS-21-01,"PKR 2,768"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-04_2_.jpg,Embroidered Lawn Shirt GLS-21-04,"PKR 2,768PKR 2,768"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-05_2_.jpg,Screen Printed Lawn Shirt GLS-21-05,"PKR 2,768"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-05_2_.jpg,Screen Printed Lawn Shirt GLS-21-05,"PKR 2,768"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-07_3_.jpg,Embroidered Lawn Shirt -GLS-21-07,"PKR 2,768"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-08_2_.jpg,Embroidered Lawn Shirt -GLS-21-08,"PKR 2,768"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-09_2_.jpg,Embroidered Lawn Shirt -GLS-21-09,"PKR 2,393"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-11_2_.jpg,Embroidered Lawn Shirt -GLS-21-11,"PKR 2,768PKR 2,768"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-12_5_.jpg,Screen Printed Lawn Shirt -GLS-21-12,"PKR 2,318"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-13_2_.jpg,Screen Printed Lawn Shirt -GLS-21-13,"PKR 2,318"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-14_2_.jpg,Embroidered Lawn Shirt -GLS-21-14,"PKR 2,768"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-56_dp_2_.jpg,Digital Printed Lawn Shirt GLS-21-56,"PKR 1,868"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-58_dp_3_.jpg,Digital Printed Lawn Shirt GLS-21-58,"PKR 1,868"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-63_dp_2_.jpg,Digital Printed Cotton Shirt GLS-21-63,"PKR 1,868"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-72_dp_2_.jpg,Digital Printed Cotton Shirt GLS-21-72,"PKR 1,868"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-73_dp_2_.jpg,Digital Printed Cotton Shirt GLS-21-73,"PKR 1,868"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-59_dp_2_.jpg,Digital Printed Lawn Shirt GLS-21-59,"PKR 1,868"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-64_dp_2_.jpg,Printed Cotton Shirt - GLS-21-64 DP,"PKR 2,318PKR 2,318"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/gls-21-76_2_.jpg,Screen Printed Cotton Shirt - GLS-21-76,"PKR 2,468"
