IMG,TITLE,PRICE
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/4/5/456789ikjnhbgvfcdxsertyuhjkm_3_.jpg,3 PC Unstitched Embroidered Lawn Suit with Jacquard Dupatta FE-12125,"PKR 5,990"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/1/2/1234567890oikjhbhvcdswqwertyujk_2_.jpg,3 PC Unstitched Embroidered Lawn Suit with Yarn Dyed Dupatta FE-12126,"PKR 10,490"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/3/4/3456789iokljhgfrdedfxcgvbnm_2_.jpg,3 PC Unstitched Embroidered Lawn Suit with Jacquard Dupatta FE-12139,"PKR 5,990"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/9/8/987654w3qwqdefgbnbmkuy6t54ewq_3_.jpg,3 PC Unstitched Embroidered Lawn Suit with Jacquard Dupatta FE-12168,"PKR 5,490"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/8/i/8iu7y6t5r4ewsadcfvbnjuytredscx_3_.jpg,3 PC Unstitched Embroidered Lawn Suit with Gold Gold Printed Bamber Dupatta FE-12194,"PKR 9,490"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/8/7/876543erfgfhjmhhgfdsdx_3_.jpg,3 PC Unstitched Embroidered Lawn Suit with Denting Lawn Dupatta FE-12224,"PKR 7,490"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/2/3/2345678uiokjhbvcfdfg_1_.jpg,3 PC Unstitched Embroidered Lawn Suit with Jacquard Dupatta FE-12231,"PKR 7,990"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/3/4/343567889iolkjhbgvfcdfghjk_2_.jpg,3 PC Unstitched Embroidered Lawn Suit with Denting Lawn Dupatta FE-12232,"PKR 8,990"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/4/5/45rtfhgb98oiukju8reimsdn_2_.jpg,3 PC Unstitched Embroidered Lawn Suit with Jacquard Dupatta FE-12233,"PKR 7,990"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/n/c/ncfdrjh4u_vbnhfjuei_vbhfjrueivnjfdk_1_.jpg,3 PC Unstitched Embroidered Lawn Suit with Jacquard Dupatta FE-12234,"PKR 7,990"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/1/2/123456789olkjhgtfrewsaxcvghn_2_.jpg,3 PC Unstitched Embroidered Lawn Suit with Jacquard Dupatta FE-12235,"PKR 8,490"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/0/9/098765432wertyhjm_1_.jpg,3 PC Unstitched Embroidered Lawn Suit with Jacquard Dupatta FE-12236,"PKR 8,490"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/0/9/09876543wqwsdrftgyhujiklmjnhbgvfcd_3_.jpg,3 PC Unstitched Embroidered Lawn Suit with Jacquard Dupatta FE-12237,"PKR 7,990"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/0/9/098765rftgbiuhkjnmfvc_2_.jpg,3 PC Unstitched Embroidered Lawn Suit with Gold Printed Cotton Net Dupatta FE-12246,"PKR 7,990"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/o/i/oi98765rtfgvbswsedfghbnm_6__1.jpg,3 PC Unstitched Embroidered Lawn Suit with Gold Lacquer Printed Cotton Net Dupatta FE-12250,"PKR 9,990"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/0/9/0987654edftghjbni_2_.jpg,3 PC Unstitched Embroidered Lawn Suit with Jacquard Dupatta FE-12251,"PKR 7,990"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/0/9/09087654erdfcgcvbiuhjbn_3_.jpg,3 PC Unstitched Embroidered Lawn Suit with Cotton Net Dupatta FE-12252,"PKR 9,990"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/0/9/098765rtfgvboiukjhmbn_3_.jpg,3 PC Unstitched Embroidered Lawn Suit with Chiffon Dupatta FE-12253,"PKR 10,490"
